Subject,Group,Accuracy Random Forest,Accuracy CNN,Accuracy RNN,Accuracy CRNN,Accuracy Feature RNN,Accuracy Ensemble
082315_w_60,5,0.875,0.925,0.875,0.5,0.9,0.925
083114_w_55,5,0.5,0.5,0.5,0.5,0.6,0.575
092509_w_51,5,0.425,0.5,0.4,0.4,0.5,0.475
100514_w_51,5,0.75,0.55,0.575,0.5,0.5,0.475
100909_w_65,5,0.875,0.95,0.85,0.5,0.7,0.8
101209_w_61,5,0.65,0.6,0.675,0.625,0.55,0.625
102414_w_58,5,0.525,0.475,0.425,0.45,0.65,0.575
111409_w_63,5,0.65,0.625,0.55,0.575,0.65,0.6
111914_w_63,5,0.8,0.875,0.875,0.75,0.875,0.925
112610_w_60,5,0.625,0.625,0.65,0.65,0.625,0.625
112914_w_51,5,0.95,0.9,0.9,0.675,0.875,0.95
120514_w_56,5,0.6,0.65,0.675,0.5,0.6,0.525
120614_w_61,5,0.725,0.7,0.65,0.65,0.725,0.7
