Subject,Group,Accuracy Random Forest,Accuracy CNN,Accuracy RNN,Accuracy CRNN,Accuracy Feature RNN,Accuracy Ensemble
100514_w_51,5,0.55,0.5,0.65,0.525,0.6,0.575
100909_w_65,5,0.85,0.825,0.775,0.775,0.775,0.775
101209_w_61,5,0.7,0.7,0.7,0.7,0.65,0.7
102414_w_58,5,0.5,0.45,0.475,0.475,0.5,0.55
111409_w_63,5,0.65,0.7,0.65,0.65,0.75,0.7
111914_w_63,5,0.875,0.9,0.875,0.875,0.875,0.875
112610_w_60,5,0.55,0.65,0.625,0.625,0.85,0.675
112914_w_51,5,0.925,0.9,0.925,0.925,0.9,0.95
120514_w_56,5,0.6,0.675,0.675,0.65,0.625,0.575
120614_w_61,5,0.75,0.75,0.7,0.725,0.75,0.75
